,bomtitle,bomlink,year,genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
84,Bless the Child,https://www.boxofficemojo.com/release/rl4131882497/?ref_=bo_yld_table_85,2000,"['Crime', 'Drama', 'Horror', 'Thriller']",Crime,Drama,Horror,Thriller,,,,
85,The Watcher,https://www.boxofficemojo.com/release/rl7898625/?ref_=bo_yld_table_86,2000,"['Crime', 'Drama', 'Mystery', 'Thriller']",Crime,Drama,Mystery,Thriller,,,,
86,"Girl, Interrupted",https://www.boxofficemojo.com/release/rl458524161/?ref_=bo_yld_table_87,2000,"['Biography', 'Drama']",Biography,Drama,,,,,,
87,Love & Basketball,https://www.boxofficemojo.com/release/rl3881928193/?ref_=bo_yld_table_88,2000,"['Drama', 'Romance', 'Sport']",Drama,Romance,Sport,,,,,
88,High Fidelity,https://www.boxofficemojo.com/release/rl1213826561/?ref_=bo_yld_table_89,2000,"['Comedy', 'Drama', 'Music', 'Romance']",Comedy,Drama,Music,Romance,,,,
89,Book of Shadows: Blair Witch 2,https://www.boxofficemojo.com/release/rl2252834305/?ref_=bo_yld_table_90,2000,"['Adventure', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",Adventure,Fantasy,Horror,Mystery,Thriller,,,
90,Proof of Life,https://www.boxofficemojo.com/release/rl728401409/?ref_=bo_yld_table_91,2000,"['Action', 'Drama', 'Thriller']",Action,Drama,Thriller,,,,,
91,The Adventures of Rocky & Bullwinkle,https://www.boxofficemojo.com/release/rl2825684481/?ref_=bo_yld_table_92,2000,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Adventure,Animation,Comedy,Family,Fantasy,,,
92,Nurse Betty,https://www.boxofficemojo.com/release/rl3244787201/?ref_=bo_yld_table_93,2000,"['Comedy', 'Crime', 'Drama', 'Romance']",Comedy,Crime,Drama,Romance,,,,
93,Bicentennial Man,https://www.boxofficemojo.com/release/rl1765901825/?ref_=bo_yld_table_94,2000,"['Comedy', 'Drama', 'Sci-Fi']",Comedy,Drama,Sci-Fi,,,,,
94,Deuce Bigalow: Male Gigolo,https://www.boxofficemojo.com/release/rl1766819329/?ref_=bo_yld_table_95,2000,"['Comedy', 'Romance']",Comedy,Romance,,,,,,
95,Reindeer Games,https://www.boxofficemojo.com/release/rl2993522177/?ref_=bo_yld_table_96,2000,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",Action,Adventure,Crime,Drama,Thriller,,,
96,Titan A.E.,https://www.boxofficemojo.com/release/rl3681846785/?ref_=bo_yld_table_97,2000,"['Action', 'Adventure', 'Animation', 'Family', 'Sci-Fi']",Action,Adventure,Animation,Family,Sci-Fi,,,
97,Boys and Girls,https://www.boxofficemojo.com/release/rl3896935937/?ref_=bo_yld_table_98,2000,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,
98,Magnolia,https://www.boxofficemojo.com/release/rl2522908161/?ref_=bo_yld_table_99,2000,['Drama'],Drama,,,,,,,
99,Battlefield Earth,https://www.boxofficemojo.com/release/rl3678766593/?ref_=bo_yld_table_100,2000,"['Action', 'Adventure', 'Sci-Fi']",Action,Adventure,Sci-Fi,,,,,
100,Urban Legends: Final Cut,https://www.boxofficemojo.com/release/rl830047745/?ref_=bo_yld_table_101,2000,"['Horror', 'Mystery', 'Thriller']",Horror,Mystery,Thriller,,,,,
101,Down to You,https://www.boxofficemojo.com/release/rl1900971521/?ref_=bo_yld_table_102,2000,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,
