photoimage,actorname,actorimdb,dateofbirth,placeofbirth,minibio,trivia,race,gender,Domestic
,David R. Ellis,http://www.imdb.com/name/nm0254786/,,,,,,,1
,David Robert Mitchell,http://www.imdb.com/name/nm1379002/,,,,,,,1
,David S. Goyer,http://www.imdb.com/name/nm0333060/,,,,,,,1
,David Schwimmer,http://www.imdb.com/name/nm0001710/,,,,,,,0
,David Silverman,http://www.imdb.com/name/nm0798899/,,,,,,,1
,David Slade,http://www.imdb.com/name/nm1720541/,,,,,,,1
,David Soren,http://www.imdb.com/name/nm1659741/,,,,,,,1
,David Twohy,http://www.imdb.com/name/nm0878638/,,,,,,,1
,David Wain,http://www.imdb.com/name/nm0906476/,,,,,,,1
,David Yates,http://www.imdb.com/name/nm0946734/,,,,,,,1
,David Zucker,http://www.imdb.com/name/nm0001878/,,,,,,,1
,Davis Guggenheim,http://www.imdb.com/name/nm0346550/,,,,,,,1
,Dax Shepard,http://www.imdb.com/name/nm1009277/,,,,,,,1
,Dean DeBlois,http://www.imdb.com/name/nm0213450/,,,,,,,1
,Dean Israelite,http://www.imdb.com/name/nm2410311/,,,,,,,1
,Dean Parisot,http://www.imdb.com/name/nm0661751/,,,,,,,1
,Dean Wright,http://www.imdb.com/name/nm0942331/,,,,,,,0
,Deb Hagan,http://www.imdb.com/name/nm1834176/,,,,,,,1
,Debra Granik,http://www.imdb.com/name/nm0335138/,,,,,,,1
,Deepa Mehta,http://www.imdb.com/name/nm0576548/,,,,,,,0
,Denis Villeneuve,http://www.imdb.com/name/nm0898288/,,,,,,,1
,Dennie Gordon,http://www.imdb.com/name/nm0330140/,,,,,,,1
,Dennis Dugan,http://www.imdb.com/name/nm0240797/,,,,,,,1
,Dennis Iliadis,http://www.imdb.com/name/nm1531934/,,,,,,,1
,Denzel Washington,http://www.imdb.com/name/nm0000243/,,,,,,,1
,Derek Cianfrance,http://www.imdb.com/name/nm0161834/,,,,,,,1
,Derrick Borte,http://www.imdb.com/name/nm0097517/,,,,,,,1
,Diane English,http://www.imdb.com/name/nm0257606/,,,,,,,1
,Diego Luna,http://www.imdb.com/name/nm0526019/,,,,,,,1
,Dinesh D'Souza,http://www.imdb.com/name/nm1625338/,,,,,,,1
,Dito Montiel,http://www.imdb.com/name/nm1996918/,,,,,,,1
,Dominic Sena,http://www.imdb.com/name/nm0784061/,,,,,,,1
,Don Hall,http://www.imdb.com/name/nm2320658/,,,,,,,1
,Don Mancini,http://www.imdb.com/name/nm0238841/,,,,,,,1
,Don McKellar,http://www.imdb.com/name/nm0001528/,,,,,,,0
,Don Michael Paul,http://www.imdb.com/name/nm0666806/,,,,,,,1
,Don Scardino,http://www.imdb.com/name/nm0769135/,,,,,,,1
,Donald Petrie,http://www.imdb.com/name/nm0677953/,,,,,,,1
,Dong-hoon Choi,http://www.imdb.com/name/nm1569807/,,,,,,,0
,Doug Atchison,http://www.imdb.com/name/nm0040328/,,,,,,,1
,Doug Ellin,http://www.imdb.com/name/nm0254120/,,,,,,,1
,Doug Lefler,http://www.imdb.com/name/nm0498991/,,,,,,,0
,Doug Liman,http://www.imdb.com/name/nm0510731/,,,,,,,1
,Douglas McGrath,http://www.imdb.com/name/nm0569790/,,,,,,,1
,Drake Doremus,http://www.imdb.com/name/nm2035886/,,,,,,,1
,Drew Barrymore,http://www.imdb.com/name/nm0000106/,,,,,,,1
,Drew Goddard,http://www.imdb.com/name/nm1206844/,,,,,,,1
,Dror Moreh,http://www.imdb.com/name/nm0603466/,,,,,,,0
,Duke Johnson,http://www.imdb.com/name/nm2122478/,,,,,,,1
