,year,imdbcrewcastlink,imdbfilmtitle,imdbfilmlink,bomtitle,bomlink,descriptor1,descriptor2,descriptor3,NumOwnFilms(past five years),NumOfTwoCommonCategoriesOwnFilms(past five years),NumFeatureMovies(past five years),NumCommonFeatureMovies(past five years)
1938,2011,http://www.imdb.com/name/nm0000142/,J. Edgar,http://www.imdb.com/title/tt1616195/,J. Edgar,http://www.boxofficemojo.com/movies/?id=jedgar.htm,biography,crime,drama,5,3,32639.0,29.0
1939,2015,http://www.imdb.com/name/nm0905152/,Jupiter Ascending,http://www.imdb.com/title/tt1617661/,Jupiter Ascending,http://www.boxofficemojo.com/movies/?id=jupiterascending.htm,action,adventure,sci-fi,3,1,43994.0,759.0
1940,2015,http://www.imdb.com/name/nm0905154/,Jupiter Ascending,http://www.imdb.com/title/tt1617661/,Jupiter Ascending,http://www.boxofficemojo.com/movies/?id=jupiterascending.htm,action,adventure,sci-fi,4,1,43994.0,759.0
1941,2013,http://www.imdb.com/name/nm0705058/,I'm in Love with a Church Girl,http://www.imdb.com/title/tt1618432/,I'm In Love With a Church Girl,http://www.boxofficemojo.com/movies/?id=churchgirl.htm,crime,drama,romance,5,1,38747.0,895.0
1942,2015,http://www.imdb.com/name/nm0252135/,The Last Witch Hunter,http://www.imdb.com/title/tt1618442/,The Last Witch Hunter,http://www.boxofficemojo.com/movies/?id=lastwitchhunter.htm,action,adventure,fantasy,1,1,43994.0,759.0
1943,2010,http://www.imdb.com/name/nm3508781/,Dabangg,http://www.imdb.com/title/tt1620719/,Dabangg,http://www.boxofficemojo.com/movies/?id=dabangg.htm,action,comedy,,1,1,29769.0,512.0
1944,2013,http://www.imdb.com/name/nm0371755/,Free Birds,http://www.imdb.com/title/tt1621039/,Free Birds,http://www.boxofficemojo.com/movies/?id=turkeys.htm,animation,adventure,comedy,2,1,38747.0,214.0
1945,2012,http://www.imdb.com/name/nm1103162/,Think Like a Man,http://www.imdb.com/title/tt1621045/,Think Like a Man,http://www.boxofficemojo.com/movies/?id=thinklikeaman.htm,comedy,romance,,5,1,35774.0,701.0
1946,2012,http://www.imdb.com/name/nm4588077/,Think Like a Man,http://www.imdb.com/title/tt1621045/,Think Like a Man,http://www.boxofficemojo.com/movies/?id=thinklikeaman.htm,comedy,romance,,5,1,35774.0,701.0
1947,2014,http://www.imdb.com/name/nm0526019/,Cesar Chavez,http://www.imdb.com/title/tt1621046/,Cesar Chavez,http://www.boxofficemojo.com/movies/?id=cesarchavez.htm,biography,drama,,5,1,41257.0,360.0
1948,2010,http://www.imdb.com/name/nm0696236/,Bill Cunningham New York,http://www.imdb.com/title/tt1621444/,Bill Cunningham New York,http://www.boxofficemojo.com/movies/?id=billcunninghamnewyork.htm,documentary,biography,history,1,1,29769.0,0.0
1949,2011,http://www.imdb.com/name/nm0281508/,30 Minutes or Less,http://www.imdb.com/title/tt1622547/,30 Minutes or Less,http://www.boxofficemojo.com/movies/?id=30minutesorless.htm,action,comedy,crime,9,1,32639.0,580.0
1950,2011,http://www.imdb.com/name/nm0702797/,Final Destination 5,http://www.imdb.com/title/tt1622979/,Final Destination 5,http://www.boxofficemojo.com/movies/?id=finaldestination5.htm,horror,thriller,,2,1,32639.0,446.0
