bomtitle,bomlink,year,login_link,imdb_idList,imdb_genre_textList,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7
High Fidelity,https://www.boxofficemojo.com/release/rl1213826561/?ref_=bo_yld_table_89,2000,https://pro.imdb.com/title/tt0146882?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0146882,"['Comedy', 'Drama', 'Music']",Comedy,Drama,Music,,,,,
Book of Shadows: Blair Witch 2,https://www.boxofficemojo.com/release/rl2252834305/?ref_=bo_yld_table_90,2000,https://pro.imdb.com/title/tt0229260?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0229260,"['Adventure', 'Fantasy', 'Horror']",Adventure,Fantasy,Horror,,,,,
Proof of Life,https://www.boxofficemojo.com/release/rl728401409/?ref_=bo_yld_table_91,2000,https://pro.imdb.com/title/tt0228750?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0228750,"['Action', 'Drama', 'Thriller']",Action,Drama,Thriller,,,,,
The Adventures of Rocky & Bullwinkle,https://www.boxofficemojo.com/release/rl2825684481/?ref_=bo_yld_table_92,2000,https://pro.imdb.com/title/tt0131704?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0131704,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",Adventure,Animation,Comedy,Family,Fantasy,,,
Nurse Betty,https://www.boxofficemojo.com/release/rl3244787201/?ref_=bo_yld_table_93,2000,https://pro.imdb.com/title/tt0171580?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0171580,"['Comedy', 'Crime', 'Drama', 'Romance']",Comedy,Crime,Drama,Romance,,,,
Bicentennial Man,https://www.boxofficemojo.com/release/rl1765901825/?ref_=bo_yld_table_94,2000,https://pro.imdb.com/title/tt0182789?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0182789,"['Comedy', 'Drama', 'Sci-Fi']",Comedy,Drama,Sci-Fi,,,,,
Deuce Bigalow: Male Gigolo,https://www.boxofficemojo.com/release/rl1766819329/?ref_=bo_yld_table_95,2000,https://pro.imdb.com/title/tt0205000?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0205000,"['Comedy', 'Romance']",Comedy,Romance,,,,,,
Reindeer Games,https://www.boxofficemojo.com/release/rl2993522177/?ref_=bo_yld_table_96,2000,https://pro.imdb.com/title/tt0184858?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0184858,"['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",Action,Adventure,Crime,Drama,Thriller,,,
Titan A.E.,https://www.boxofficemojo.com/release/rl3681846785/?ref_=bo_yld_table_97,2000,https://pro.imdb.com/title/tt0120913?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0120913,"['Action', 'Adventure', 'Animation']",Action,Adventure,Animation,,,,,
Boys and Girls,https://www.boxofficemojo.com/release/rl3896935937/?ref_=bo_yld_table_98,2000,https://pro.imdb.com/title/tt0204175?ref_=mojo_rl_summary&rf=mojo_rl_summary,tt0204175,"['Comedy', 'Drama', 'Romance']",Comedy,Drama,Romance,,,,,
