year,bomrank,bomtitle,imdblink,bomlink,imdb_genre_text,Genre_0,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10
2006,160,Tenacious D in: The Pick of Destiny,http://www.imdb.com/title/tt0365830/,http://www.boxofficemojo.com/movies/?id=tenaciousd.htm,"['Adventure', 'Comedy', 'Music', ' Adventure', ' Comedy', ' Music', ' Musical']",Adventure,Comedy,Music, Adventure, Comedy, Music, Musical,,,,
2006,161,Hoot,http://www.imdb.com/title/tt0453494/,http://www.boxofficemojo.com/movies/?id=hoot.htm,"['Adventure', 'Comedy', 'Family', ' Adventure', ' Comedy', ' Family']",Adventure,Comedy,Family, Adventure, Comedy, Family,,,,,
2006,162,The Painted Veil,http://www.imdb.com/title/tt0446755/,http://www.boxofficemojo.com/movies/?id=paintedveil.htm,"['Drama', 'Romance', ' Drama', ' Romance']",Drama,Romance, Drama, Romance,,,,,,,
2006,163,The Night Listener,http://www.imdb.com/title/tt0448075/,http://www.boxofficemojo.com/movies/?id=nightlistener.htm,"['Crime', 'Drama', 'Mystery', ' Crime', ' Drama', ' Mystery', ' Thriller']",Crime,Drama,Mystery, Crime, Drama, Mystery, Thriller,,,,
2006,164,Slither,http://www.imdb.com/title/tt0439815/,http://www.boxofficemojo.com/movies/?id=slither.htm,"['Comedy', 'Horror', 'Sci-Fi', ' Comedy', ' Horror', ' Sci-Fi']",Comedy,Horror,Sci-Fi, Comedy, Horror, Sci-Fi,,,,,
2006,165,The Return,http://www.imdb.com/title/tt0433442/,http://www.boxofficemojo.com/movies/?id=revolver.htm,"['Horror', 'Mystery', 'Thriller', ' Horror', ' Mystery', ' Thriller']",Horror,Mystery,Thriller, Horror, Mystery, Thriller,,,,,
2006,166,A Good Year,http://www.imdb.com/title/tt0401445/,http://www.boxofficemojo.com/movies/?id=goodyear.htm,"['Comedy', 'Drama', 'Romance', ' Comedy', ' Drama', ' Romance']",Comedy,Drama,Romance, Comedy, Drama, Romance,,,,,
2006,167,Doogal,http://www.imdb.com/title/tt0763304/,http://www.boxofficemojo.com/movies/?id=doogal.htm,"['Animation', 'Adventure', 'Comedy', ' Animation', ' Adventure', ' Comedy', ' Family', ' Fantasy']",Animation,Adventure,Comedy, Animation, Adventure, Comedy, Family, Fantasy,,,
2006,168,All the King's Men,http://www.imdb.com/title/tt0405676/,http://www.boxofficemojo.com/movies/?id=allthekingsmen.htm,"['Drama', 'Thriller', ' Drama', ' Thriller']",Drama,Thriller, Drama, Thriller,,,,,,,
2006,169,American Dreamz,http://www.imdb.com/title/tt0465142/,http://www.boxofficemojo.com/movies/?id=americandreamz.htm,"['Comedy', 'Music', ' Comedy', ' Music']",Comedy,Music, Comedy, Music,,,,,,,
2006,170,Phat Girlz,http://www.imdb.com/title/tt0490196/,http://www.boxofficemojo.com/movies/?id=phatgirlz.htm,"['Comedy', ' Comedy']",Comedy, Comedy,,,,,,,,,
2006,171,Turistas,http://www.imdb.com/title/tt0454970/,http://www.boxofficemojo.com/movies/?id=turistas.htm,"['Horror', 'Mystery', 'Thriller', ' Horror', ' Mystery', ' Thriller']",Horror,Mystery,Thriller, Horror, Mystery, Thriller,,,,,
2006,172,Running with Scissors,http://www.imdb.com/title/tt0439289/,http://www.boxofficemojo.com/movies/?id=runningwithscissors.htm,"['Comedy', 'Drama', ' Comedy', ' Drama']",Comedy,Drama, Comedy, Drama,,,,,,,
2006,173,Crossover,http://www.imdb.com/title/tt0473024/,http://www.boxofficemojo.com/movies/?id=crossover.htm,"['Action', 'Sport', ' Action', ' Sport']",Action,Sport, Action, Sport,,,,,,,
2006,174,Running Scared,http://www.imdb.com/title/tt0404390/,http://www.boxofficemojo.com/movies/?id=runningscared05.htm,"['Action', 'Crime', 'Drama', ' Action', ' Crime', ' Drama', ' Thriller']",Action,Crime,Drama, Action, Crime, Drama, Thriller,,,,
