,bomfilmtitle,filmimdb,year,notsample,filmrank,castrank,filmrole,actorname,actorimdb,birthyear,gender,race,bomlink,starpower-actor,name_id,bomtitle,releasedate,prior10weeksDate
69,Anchorman: The Legend of Ron Burgundy,http://www.imdb.com/title/tt0357413/,2004,0,8,5,Cast,David Koechner,http://www.imdb.com/name/nm0462712/,1962,m,white,http://www.boxofficemojo.com/movies/?id=anchorman.htm,6072,nm0462712,Anchorman: The Legend of Ron Burgundy,7/9/2004,4/30/2004
70,Around the World in 80 Days,http://www.imdb.com/title/tt0327437/,2004,0,6,1,Cast,Jackie Chan,http://www.imdb.com/name/nm0000329/,1954,m,asian,http://www.boxofficemojo.com/movies/?id=aroundtheworldin80days.htm,339,nm0000329,Around the World in 80 Days,6/16/2004,4/7/2004
71,Around the World in 80 Days,http://www.imdb.com/title/tt0327437/,2004,0,7,2,Cast,Steve Coogan,http://www.imdb.com/name/nm0176869/,1965,m,white,http://www.boxofficemojo.com/movies/?id=aroundtheworldin80days.htm,1226,nm0176869,Around the World in 80 Days,6/16/2004,4/7/2004
72,Around the World in 80 Days,http://www.imdb.com/title/tt0327437/,2004,0,8,3,Cast,Cécile De France,http://www.imdb.com/name/nm0208426/,1975,f,white,http://www.boxofficemojo.com/movies/?id=aroundtheworldin80days.htm,3983,nm0208426,Around the World in 80 Days,6/16/2004,4/7/2004
73,Around the World in 80 Days,http://www.imdb.com/title/tt0327437/,2004,0,9,4,Cast,Robert Fyfe,http://www.imdb.com/name/nm0299481/,1925,m,white,http://www.boxofficemojo.com/movies/?id=aroundtheworldin80days.htm,54853,nm0299481,Around the World in 80 Days,6/16/2004,4/7/2004
74,Around the World in 80 Days,http://www.imdb.com/title/tt0327437/,2004,0,10,5,Cast,Jim Broadbent,http://www.imdb.com/name/nm0000980/,1949,m,white,http://www.boxofficemojo.com/movies/?id=aroundtheworldin80days.htm,1985,nm0000980,Around the World in 80 Days,6/16/2004,4/7/2004
75,Bad Education,http://www.imdb.com/title/tt0275491/,2004,1,3,1,Cast,Gael García Bernal,http://www.imdb.com/name/nm0305558/,1978,m,hispanic,http://www.boxofficemojo.com/movies/?id=badeducation.htm,160,nm0305558,Bad Education,11/19/2004,9/10/2004
76,Bad Education,http://www.imdb.com/title/tt0275491/,2004,1,4,2,Cast,Fele Martínez,http://www.imdb.com/name/nm0555093/,1975,m,hispanic,http://www.boxofficemojo.com/movies/?id=badeducation.htm,4619,nm0555093,Bad Education,11/19/2004,9/10/2004
77,Bad Education,http://www.imdb.com/title/tt0275491/,2004,1,5,3,Cast,Daniel Giménez Cacho,http://www.imdb.com/name/nm0319843/,,,,http://www.boxofficemojo.com/movies/?id=badeducation.htm,10314,nm0319843,Bad Education,11/19/2004,9/10/2004
78,Bad Education,http://www.imdb.com/title/tt0275491/,2004,1,6,4,Cast,Lluís Homar,http://www.imdb.com/name/nm0392913/,,,,http://www.boxofficemojo.com/movies/?id=badeducation.htm,24656,nm0392913,Bad Education,11/19/2004,9/10/2004
