,year,bomrank,bomtitle,bomlink,domesticgross,foreigngross,runtimemin,productionbudget,majordistributor,grated,rrated,unrated,remove,imdblink,studio,totalusgross,totaltheater,openingusgross,openingtheaters,foreigndm,languagecount,_merge2,qualityfilm,countaward,_merge3,genrespanning,_merge4,criticratings_avg,criticrating_var,user_avg,user_var,_merge5,imdbfilmtitle,avg_minority_gender,avg_minority_race,avg_minority,avg_minority_1,multidirector,releasedate,closedate,numberofcritics
1101,2010,22,Salt,http://www.boxofficemojo.com/movies/?id=salt10.htm,118311368,175191986,99,110000000,1,0,0,0,,http://www.imdb.com/title/tt0944835/,Sony,118311368,3612,36011243,3612,0,1,matched (3),1,33,matched (3),4,matched (3),65,390,6.4000001,3.0234001,matched (3),Salt,0,0,0,0,0,"July 23, 2010","October 28, 2010",10
1102,2011,62,Source Code,http://www.boxofficemojo.com/movies/?id=sourcecode.htm,54712227,92620470,94,32000000,0,0,0,0,,http://www.imdb.com/title/tt0945513/,Sum.,54712227,2971,14812094,2961,0,2,matched (3),0,12,matched (3),3,matched (3),74,138.3,7.5,1.84025,matched (3),Source Code,0,0,0,0,0,"April 1, 2011","July 14, 2011",10
1103,2010,25,Black Swan,http://www.boxofficemojo.com/movies/?id=blackswan.htm,106954678,222443368,103,13000000,1,0,1,0,,http://www.imdb.com/title/tt0947798/,FoxS,106954678,2407,1443809,18,0,1,matched (3),1,467,matched (3),2,matched (3),79,312,8,2.987,matched (3),Black Swan,0,0,0,0,0,"December 3, 2010","May 5, 2011",10
1104,2008,73,Lakeview Terrace,http://www.boxofficemojo.com/movies/?id=lakeviewterrace.htm,39263506,5390131,110,20000000,1,0,0,0,,http://www.imdb.com/title/tt0947802/,SGem,39263506,2574,15004672,2464,0,1,matched (3),0,1,matched (3),3,matched (3),47,36.200001,6.0999999,2.7783999,matched (3),Lakeview Terrace,0,0,0,0,0,"September 19, 2008","November 2, 2008",10
1105,2010,85,Green Zone,http://www.boxofficemojo.com/movies/?id=greenzone.htm,35053660,59828889,115,100000000,1,0,1,0,,http://www.imdb.com/title/tt0947810/,Uni.,35053660,3004,14309295,3003,0,4,matched (3),0,9,matched (3),4,matched (3),63,322.60001,6.8000002,2.2651999,matched (3),Green Zone,0,0,0,0,0,"March 12, 2010","May 6, 2010",10
1106,2012,7,The Amazing Spider-Man,http://www.boxofficemojo.com/movies/?id=spiderman4.htm,262030663,495900000,136,230000000,1,0,0,0,,http://www.imdb.com/title/tt0948470/,Sony,262030663,4318,62004688,4318,0,1,matched (3),0,166,matched (3),2,matched (3),66,257.70001,7,3.184,matched (3),The Amazing Spider-Man,0,0,0,0,0,"July 3, 2012","October 14, 2012",10
1107,2008,49,The Happening,http://www.boxofficemojo.com/movies/?id=happening.htm,64506874,98896925,91,48000000,1,0,1,0,,http://www.imdb.com/title/tt0949731/,Fox,64506874,2986,30517109,2986,0,2,matched (3),0,17,matched (3),2,matched (3),34,373,5,5.1329999,matched (3),The Happening,0,1,1,0,0,"June 13, 2008","September 18, 2008",10
1108,2008,115,Mad Money,http://www.boxofficemojo.com/movies/?id=madmoney.htm,20668843,5743320,104,,0,0,0,0,,http://www.imdb.com/title/tt0951216/,Over.,20668843,2470,7736452,2470,0,1,matched (3),0,2,matched (3),3,matched (3),41,150.89999,5.8000002,4.6005998,matched (3),Mad Money,1,0,1,0,0,"January 18, 2008","May 18, 2008",10
1109,2007,9,Alvin and the Chipmunks,http://www.boxofficemojo.com/movies/?id=alvinandthechipmunks.htm,217326974,144009659,92,60000000,1,0,0,0,,http://www.imdb.com/title/tt0952640/,Fox,217326974,3499,44307417,3475,0,1,matched (3),0,3,matched (3),5,matched (3),39,195.3,5.1999998,5.63624,matched (3),Alvin and the Chipmunks,0,0,0,0,0,"December 14, 2007","June 5, 2008",10
1110,2010,26,Robin Hood,http://www.boxofficemojo.com/movies/?id=nottingham.htm,105269730,216400011,148,200000000,1,0,0,0,,http://www.imdb.com/title/tt0955308/,Uni.,105269730,3505,36063385,3503,0,2,matched (3),0,33,matched (3),5,matched (3),53,488.79999,6.6999998,2.6869299,matched (3),Robin Hood,0,0,0,0,0,"May 14, 2010","August 5, 2010",10
