,Columns are already created in the csv file at the rightest side,imdbcrewcastlink,year,imdbfilmtitle,role,imdbfilmlink,bomtitle,bomlink,starpower-director,name_id,releasedate,prior10weeksDate
1937,Kirk Jones,http://www.imdb.com/name/nm0428600/,2012,What to Expect When You're Expecting,Director,http://www.imdb.com/title/tt1586265/,What to Expect When You're Expecting,http://www.boxofficemojo.com/movies/?id=whattoexpect.htm,15313,nm0428600,5/18/2012,3/9/2012
1938,Robert Stromberg,http://www.imdb.com/name/nm0834902/,2014,Maleficent,Director,http://www.imdb.com/title/tt1587310/,Maleficent,http://www.boxofficemojo.com/movies/?id=maleficient.htm,3078,nm0834902,5/30/2014,3/21/2014
1939,Banksy,http://www.imdb.com/name/nm2612991/,2010,Exit Through the Gift Shop,Director,http://www.imdb.com/title/tt1587707/,Exit Through the Gift Shop,http://www.boxofficemojo.com/movies/?id=exitthroughthegiftshop.htm,143383,nm2612991,4/16/2010,2/5/2010
1940,Jonathan Levine,http://www.imdb.com/name/nm1349522/,2013,Warm Bodies,Director,http://www.imdb.com/title/tt1588173/,Warm Bodies,http://www.boxofficemojo.com/movies/?id=warmbodies.htm,4568,nm1349522,2/1/2013,11/23/2012
1941,Jay Duplass,http://www.imdb.com/name/nm0243231/,2011,"Jeff, Who Lives at Home",Director,http://www.imdb.com/title/tt1588334/,"Jeff, Who Lives at Home",http://www.boxofficemojo.com/movies/?id=jeffwholivesathome.htm,12569,nm0243231,3/16/2012,1/6/2012
1942,Mark Duplass,http://www.imdb.com/name/nm0243233/,2011,"Jeff, Who Lives at Home",Director,http://www.imdb.com/title/tt1588334/,"Jeff, Who Lives at Home",http://www.boxofficemojo.com/movies/?id=jeffwholivesathome.htm,2849,nm0243233,3/16/2012,1/6/2012
1943,Xavier Beauvois,http://www.imdb.com/name/nm0064741/,2010,Om guder og mennesker,Director,http://www.imdb.com/title/tt1588337/,Of Gods and Men,http://www.boxofficemojo.com/movies/?id=ofgodsandmen.htm,12449,nm0064741,2/25/2011,12/17/2010
1944,James Wan,http://www.imdb.com/name/nm1490123/,2010,Insidious,Director,http://www.imdb.com/title/tt1591095/,Insidious,http://www.boxofficemojo.com/movies/?id=insidious.htm,5442,nm1490123,4/1/2011,1/21/2011
1945,Scott Waugh,http://www.imdb.com/name/nm0915304/,2012,Act of Valor,Director,http://www.imdb.com/title/tt1591479/,Act of Valor,http://www.boxofficemojo.com/movies/?id=actofvalor.htm,18345,nm0915304,2/24/2012,12/16/2011
1946,Mike McCoy,http://www.imdb.com/name/nm0566788/,2012,Act of Valor,Director,http://www.imdb.com/title/tt1591479/,Act of Valor,http://www.boxofficemojo.com/movies/?id=actofvalor.htm,12592,nm0566788,2/24/2012,12/16/2011
1947,Stephen St. Leger,http://www.imdb.com/name/nm1908892/,2012,Lockout,Director,http://www.imdb.com/title/tt1592525/,Lockout,http://www.boxofficemojo.com/movies/?id=lockout.htm,7291,nm1908892,4/13/2012,2/3/2012
1948,James Mather,http://www.imdb.com/name/nm1140492/,2012,Lockout,Director,http://www.imdb.com/title/tt1592525/,Lockout,http://www.boxofficemojo.com/movies/?id=lockout.htm,5191,nm1140492,4/13/2012,2/3/2012
1949,Justin Lin,http://www.imdb.com/name/nm0510912/,2011,Fast Five,Director,http://www.imdb.com/title/tt1596343/,Fast Five,http://www.boxofficemojo.com/movies/?id=fastfive.htm,3101,nm0510912,4/29/2011,2/18/2011
1950,Edward Zwick,http://www.imdb.com/name/nm0001880/,2014,Pawn Sacrifice,Director,http://www.imdb.com/title/tt1596345/,Pawn Sacrifice,http://www.boxofficemojo.com/movies/?id=pawnsacrifice.htm,5061,nm0001880,9/16/2015,7/8/2015
